,date,Sales Area,MGDP_Index
0,2008-03-31,0,0.6591207944573947
1,2008-06-30,0,0.6840289915221572
2,2008-09-30,0,0.6556572037298127
3,2008-12-31,0,0.5607099850094693
4,2009-03-31,0,0.5468109498389089
5,2009-06-30,0,0.5900221090057185
6,2009-09-30,0,0.6403667672543247
7,2009-12-31,0,0.6869562605514926
8,2010-03-31,0,0.8346247864405377
9,2010-06-30,0,0.8515414836919012
10,2010-09-30,0,0.8781534503408085
11,2010-12-31,0,0.9243154365372767
12,2011-03-31,0,0.9177827299301943
13,2011-06-30,0,0.95816274969238
14,2011-09-30,0,0.9866420304081039
15,2011-12-31,0,0.9627030931601608
16,2012-03-31,0,0.9900754446236428
17,2012-06-30,0,0.9814944953084078
18,2012-09-30,0,0.9953304759771682
19,2012-12-31,0,1.0301508090559126
20,2013-03-31,0,1.0385178982569752
21,2013-06-30,0,1.0321850750854276
22,2013-09-30,0,0.9792353513696248
23,2013-12-31,0,1.0202965263059232
24,2014-03-31,0,0.9490351689320523
25,2014-06-30,0,0.9998295266591454
26,2014-09-30,0,1.0226146476673617
27,2014-12-31,0,1.028358136598045
28,2015-03-31,0,0.9128691101209656
29,2015-06-30,0,0.9273408189137607
30,2015-09-30,0,0.9189219456198567
31,2015-12-31,0,0.9429118457790245
32,2016-03-31,0,0.8993234019845943
33,2016-06-30,0,0.9331631198772751
34,2016-09-30,0,0.9594376064938935
35,2016-12-31,0,0.9770156350622515
36,2017-03-31,0,0.9048280672018539
37,2017-06-30,0,0.9321560002017281
38,2017-09-30,0,0.9734062507936303
39,2017-12-31,0,1.0101817741405854
40,2018-03-31,0,0.9758569880746251
41,2018-06-30,0,0.9729503773814147
42,2018-09-30,0,0.957885891518214
43,2018-12-31,0,0.9818458471992563
44,2019-03-31,0,0.9420588396995607
45,2019-06-30,0,0.9561833079854191
46,2019-09-30,0,0.9641449196212194
47,2019-12-31,0,1.0
48,2020-03-31,0,0.9010928344367686
49,2020-06-30,0,0.8613199443735698
50,2020-09-30,0,0.9274395414174788
51,2020-12-31,0,0.9891029856495414
52,2021-03-31,0,0.9637272461670942
53,2021-06-30,0,0.97105616156713
54,2021-09-30,0,0.9663299478793751
55,2021-12-31,0,0.9855175032227669
56,2022-03-31,0,1.1620710916690895
57,2022-06-30,0,1.1995947621373337
58,2022-09-30,0,1.1990310516525942
59,2022-12-31,0,1.1774170164195126
60,2023-03-31,0,1.157263741616998
61,2023-06-30,0,1.1905421611007787
62,2023-09-30,0,1.1983445521844975
63,2008-03-31,56,0.8241353784233652
64,2008-06-30,56,0.8241353784233652
65,2008-09-30,56,0.8241353784233652
66,2008-12-31,56,0.8241353784233652
67,2009-03-31,56,0.7144471051554935
68,2009-06-30,56,0.7144471051554935
69,2009-09-30,56,0.7144471051554935
70,2009-12-31,56,0.7144471051554935
71,2010-03-31,56,0.9016043047325302
72,2010-06-30,56,0.9016043047325302
73,2010-09-30,56,0.9016043047325302
74,2010-12-31,56,0.9016043047325302
75,2011-03-31,56,1.1868126188819956
76,2011-06-30,56,1.1868126188819956
77,2011-09-30,56,1.1868126188819956
78,2011-12-31,56,1.1868126188819956
79,2012-03-31,56,1.1606588952005352
80,2012-06-30,56,1.1606588952005352
81,2012-09-30,56,1.1606588952005352
82,2012-12-31,56,1.1606588952005352
83,2013-03-31,56,1.210084673150352
84,2013-06-30,56,1.210084673150352
85,2013-09-30,56,1.210084673150352
86,2013-12-31,56,1.210084673150352
87,2014-03-31,56,1.1092276381436768
88,2014-06-30,56,1.1092276381436768
89,2014-09-30,56,1.1092276381436768
90,2014-12-31,56,1.1092276381436768
91,2015-03-31,56,0.8842339083802767
92,2015-06-30,56,0.8842339083802767
93,2015-09-30,56,0.8842339083802767
94,2015-12-31,56,0.8842339083802767
95,2016-03-31,56,0.800664499391814
96,2016-06-30,56,0.800664499391814
97,2016-09-30,56,0.800664499391814
98,2016-12-31,56,0.800664499391814
99,2017-03-31,56,0.908787813669879
100,2017-06-30,56,0.908787813669879
101,2017-09-30,56,0.908787813669879
102,2017-12-31,56,0.908787813669879
103,2018-03-31,56,0.9964248096116305
104,2018-06-30,56,0.9964248096116305
105,2018-09-30,56,0.9964248096116305
106,2018-12-31,56,0.9964248096116305
107,2019-03-31,56,1.0
108,2019-06-30,56,1.0
109,2019-09-30,56,1.0
110,2019-12-31,56,1.0
111,2020-03-31,56,1.0167970555746173
112,2020-06-30,56,1.0167970555746224
113,2020-09-30,56,1.0167970555746224
114,2020-12-31,56,1.0167970555746044
115,2021-03-31,56,1.0335941111492217
116,2021-06-30,56,1.0335941111492266
117,2021-09-30,56,1.0335941111492266
118,2021-12-31,56,1.0335941111492084
119,2022-03-31,56,1.050391166723826
120,2022-06-30,56,1.0503911667238306
121,2022-09-30,56,1.0503911667238306
122,2022-12-31,56,1.0503911667238126
123,2023-03-31,56,1.06718822229843
124,2023-06-30,56,1.067188222298435
125,2023-09-30,56,1.067188222298435
126,2008-03-31,4,1.9415332119343438
127,2008-06-30,4,1.9394968626971936
128,2008-09-30,4,1.3198562251799044
129,2008-12-31,4,1.2194682443988816
130,2009-03-31,4,1.1067493790663059
131,2009-06-30,4,1.0987884354133675
132,2009-09-30,4,1.1152536522199323
133,2009-12-31,4,1.1627119945012776
134,2010-03-31,4,0.970127616908
135,2010-06-30,4,0.9821503253543968
136,2010-09-30,4,0.9856058008161164
137,2010-12-31,4,1.1078651211956558
138,2011-03-31,4,1.074244632664265
139,2011-06-30,4,1.145155583232973
140,2011-09-30,4,1.1744729624649948
