"ts_month","commodity_name","value"
"2011-05-01 00:00:00","Silver","36.82181818181818"
"2011-05-01 00:00:00","Zinc","2167.3522727272725"
"2011-06-01 00:00:00","Copper","4.106473684210527"
"2011-06-01 00:00:00","Gold","1527.1650000000002"
"2011-06-01 00:00:00","Iron Ore","178.3181818181818"
"2011-06-01 00:00:00","Nickel","22420.93181818182"
"2011-06-01 00:00:00","Silver","35.699090909090906"
"2011-06-01 00:00:00","Zinc","2234.465909090909"
"2011-07-01 00:00:00","Copper","4.40125"
"2011-07-01 00:00:00","Gold","1573.3466666666666"
"2011-07-01 00:00:00","Iron Ore","181.0952380952381"
"2011-07-01 00:00:00","Nickel","23847.95238095238"
"2011-07-01 00:00:00","Silver","38.05714285714286"
"2011-07-01 00:00:00","Zinc","2397.754761904762"
"2011-08-01 00:00:00","Copper","4.081476190476191"
"2011-08-01 00:00:00","Gold","1763.1226086956524"
"2011-08-01 00:00:00","Iron Ore","185.47826086956522"
"2011-08-01 00:00:00","Nickel","21845.08695652174"
"2011-08-01 00:00:00","Silver","40.31304347826087"
"2011-08-01 00:00:00","Zinc","2200.1739130434785"
"2011-09-01 00:00:00","Copper","3.7628500000000003"
"2011-09-01 00:00:00","Gold","1770.9881818181814"
"2011-09-01 00:00:00","Iron Ore","187.04545454545453"
"2011-09-01 00:00:00","Nickel","20377.590909090908"
"2011-09-01 00:00:00","Silver","37.97863636363636"
"2011-09-01 00:00:00","Zinc","2075.2204545454547"
"2011-10-01 00:00:00","Copper","3.3361666666666663"
"2011-10-01 00:00:00","Gold","1670.1809523809522"
"2011-10-01 00:00:00","Iron Ore","165.28571428571428"
"2011-10-01 00:00:00","Nickel","19039.04761904762"
"2011-10-01 00:00:00","Silver","32.079523809523806"
"2011-10-01 00:00:00","Zinc","1871.4166666666667"
"2011-11-01 00:00:00","Copper","3.44696875"
"2011-11-01 00:00:00","Gold","1738.5968181818184"
"2011-11-01 00:00:00","Iron Ore","144.04545454545453"
"2011-11-01 00:00:00","Nickel","17873"
"2011-11-01 00:00:00","Silver","33.21318181818182"
"2011-11-01 00:00:00","Zinc","1935.3181818181818"
"2011-12-01 00:00:00","Copper","3.435675"
"2011-12-01 00:00:00","Gold","1637.565"
"2011-12-01 00:00:00","Iron Ore","144.72727272727272"
"2011-12-01 00:00:00","Nickel","18266.761363636364"
"2011-12-01 00:00:00","Silver","30.085"
"2011-12-01 00:00:00","Zinc","1904.7272727272727"
"2012-01-01 00:00:00","Copper","3.657941176470589"
"2012-01-01 00:00:00","Gold","1656.8018181818181"
"2012-01-01 00:00:00","Iron Ore","146.45454545454547"
"2012-01-01 00:00:00","Nickel","19854.772727272728"
"2012-01-01 00:00:00","Silver","30.8"
"2012-01-01 00:00:00","Zinc","1981.8636363636363"
"2012-02-01 00:00:00","Copper","3.8418636363636365"
"2012-02-01 00:00:00","Gold","1741.0390476190473"
"2012-02-01 00:00:00","Iron Ore","147.38095238095238"
"2012-02-01 00:00:00","Nickel","20393.666666666668"
"2012-02-01 00:00:00","Silver","34.17809523809525"
"2012-02-01 00:00:00","Zinc","2057.785714285714"
"2012-03-01 00:00:00","Copper","3.841976190476191"
"2012-03-01 00:00:00","Gold","1675.6645454545453"
"2012-03-01 00:00:00","Iron Ore","148.54545454545453"
"2012-03-01 00:00:00","Nickel","18660.80681818182"
"2012-03-01 00:00:00","Silver","32.95954545454545"
"2012-03-01 00:00:00","Zinc","2035.925"
"2012-04-01 00:00:00","Copper","3.721352941176471"
"2012-04-01 00:00:00","Gold","1648.9514285714283"
"2012-04-01 00:00:00","Iron Ore","150.38095238095238"
"2012-04-01 00:00:00","Nickel","17935.02380952381"
"2012-04-01 00:00:00","Silver","31.502857142857142"
"2012-04-01 00:00:00","Zinc","2002.4285714285713"
"2012-05-01 00:00:00","Copper","3.570340909090909"
"2012-05-01 00:00:00","Gold","1586.6091304347824"
"2012-05-01 00:00:00","Iron Ore","141.95652173913044"
"2012-05-01 00:00:00","Nickel","16991.956521739132"
"2012-05-01 00:00:00","Silver","28.73086956521739"
"2012-05-01 00:00:00","Zinc","1930.804347826087"
"2012-06-01 00:00:00","Copper","3.349342105263158"
"2012-06-01 00:00:00","Gold","1599.9257142857143"
"2012-06-01 00:00:00","Iron Ore","137.9047619047619"
"2012-06-01 00:00:00","Nickel","16549.14285714286"
"2012-06-01 00:00:00","Silver","28.072380952380946"
"2012-06-01 00:00:00","Zinc","1858.702380952381"
"2012-07-01 00:00:00","Copper","3.436815789473684"
"2012-07-01 00:00:00","Gold","1592.5127272727273"
"2012-07-01 00:00:00","Iron Ore","133.22727272727272"
"2012-07-01 00:00:00","Nickel","16128.40909090909"
"2012-07-01 00:00:00","Silver","27.401363636363634"
"2012-07-01 00:00:00","Zinc","1847.75"
"2012-08-01 00:00:00","Copper","3.4159333333333333"
